make,model,engine_size,trim,mileage,transmission_type,reg_year,fuel_type,price
Suzuki,Swift,1.8,1.4 Boosterjet 48V Hybrid Sport 5dr,"32,475",Manual,2022,Petrol/Electric,"£14,799"
Mercedes-Benz,E Class,1.8,E450 4Matic AMG Line Premium Plus 2dr 9G-Tronic,"31,293",Manual,2019,Petrol,"£32,999"
Vauxhall,Corsa,1.8,1.4 [75] ecoFLEX Sting 3dr,"38,601",Manual,2017,Petrol,"£6,699"
Nissan,Juke,1.8,1.0 DiG-T N-Connecta 5dr DCT,"8,676",Manual,2020,Petrol,"£16,699"
Citroen,C3,1.8,1.2 PureTech 82 Feel 5dr,"43,122",Manual,2020,Petrol,"£8,999"
Peugeot,2008,1.8,1.2 PureTech 130 GT Line 5dr,"18,444",Manual,2020,Petrol,"£17,099"
Mg,Motor Uk ZS,1.8,1.0T GDi Exclusive 5dr DCT,"44,580",Manual,2021,Petrol,"£14,799"
Nissan,Qashqai,1.8,1.3 DiG-T 160 [157] Acenta Premium 5dr DCT,"23,105",Manual,2020,Petrol,"£15,699"
BMW,2 Series,1.8,218i SE 2dr [Nav] Step Auto,"23,547",Manual,2018,Petrol,"£14,999"
Ssangyong,Korando,1.8,1.6 D Ultimate 4x4 5dr Auto,"20,736",Manual,2019,Diesel,"£18,999"
Fiat,500,1.8,1.0 Mild Hybrid Dolcevita [Part Leather] 3dr,"5,221",Manual,2022,Petrol/Electric,"£11,999"
Vauxhall,Corsa,1.8,1.2 Turbo Elite Nav 5dr,"35,674",Manual,2020,Petrol,"£9,999"
Renault,Kadjar,1.8,1.3 TCE Iconic 5dr,"18,098",Manual,2019,Petrol,"£12,599"
Ford,Fiesta,1.8,1.0 EcoBoost 95 Titanium 5dr,"44,230",Manual,2020,Petrol,"£9,999"
Nissan,Micra,1.8,1.0 IG-T 92 N-Sport 5dr [Nav],"9,436",Manual,2022,Petrol,"£14,599"
Vauxhall,Crossland X,1.8,1.2 [83] Elite Nav 5dr,"43,391",Manual,2020,Petrol,"£9,999"
Mg,Motor Uk HS,1.8,1.5 T-GDI Exclusive 5dr,"12,829",Manual,2022,Petrol,"£17,999"
Honda,Civic,1.8,1.0 VTEC Turbo 126 SE 5dr,"36,975",Manual,2022,Petrol,"£13,999"
Vauxhall,Crossland X,1.8,1.2 [83] Griffin 5dr [Start Stop],"41,273",Manual,2020,Petrol,"£9,999"
Citroen,C3 Aircross,1.8,1.5 BlueHDi Shine 5dr,"14,182",Manual,2022,Diesel,"£14,999"
Citroen,C5 Aircross,1.8,1.5 BlueHDi Sense Plus 5dr,"6,098",Manual,2022,Diesel,"£19,999"
Toyota,C-Hr,1.8,1.8 Hybrid Icon 5dr CVT,"10,217",Manual,2020,Petrol/Electric,"£18,299"
Vauxhall,Grandland X,1.8,1.2 Turbo SE 5dr Auto [8 Speed],"12,273",Manual,2020,Petrol,"£14,599"
Volkswagen,Golf,1.8,1.5 TSI 150 Life 5dr,"25,582",Manual,2020,Petrol,"£16,999"
Citroen,C4,1.8,1.2 PureTech [130] Sense Plus 5dr,"12,681",Manual,2022,Petrol,"£16,599"
Ford,Kuga,1.8,1.5 EcoBoost 150 ST-Line X Edition 5dr,"27,124",Manual,2021,Petrol,"£20,999"
Ford,Kuga,1.8,2.5 PHEV ST-Line First Edition 5dr CVT,"15,555",Manual,2020,Petrol/PlugIn,"£23,999"
Jaguar,F-Pace,1.8,2.0d [240] Chequered Flag 5dr Auto AWD,"22,210",Manual,2020,Diesel,"£31,999"
Citroen,C3 Aircross,1.8,1.2 PureTech 110 Shine 5dr,"13,730",Manual,2022,Petrol,"£14,599"
Vauxhall,Corsa,1.8,1.2 Turbo Elite Nav Premium 5dr,"40,862",Manual,2020,Petrol,"£9,999"
Renault,Kadjar,1.8,1.3 TCE 160 Iconic 5dr,"17,490",Manual,2020,Petrol,"£12,999"
KIA,Sportage,1.8,1.6 CRDi 48V ISG GT-Line S 5dr DCT Auto [AWD],"11,605",Manual,2021,Diesel,"£26,999"
Renault,Kadjar,1.8,1.3 TCE Iconic 5dr,"12,856",Manual,2019,Petrol,"£12,599"
Skoda,Fabia,1.8,1.0 MPI 80 SE Comfort 5dr,"11,592",Manual,2022,Petrol,"£13,299"
Vauxhall,Corsa,1.8,1.2 Turbo Elite Nav Premium 5dr,"42,844",Manual,2020,Petrol,"£9,999"
Toyota,C-Hr,1.8,1.8 Hybrid Design 5dr CVT,"11,039",Manual,2021,Petrol/Electric,"£20,999"
KIA,Sportage,1.8,1.6 CRDi 48V ISG GT-Line 5dr DCT Auto [AWD],"6,145",Manual,2022,Diesel,"£23,999"
